Sujeto,Relacion,Objeto
Protocolo_Migrana,requiere_prueba,RMN_Cerebral
Protocolo_Migrana,requiere_prueba,Exploracion_Neurologica
Protocolo_Migrana,recibe_tratamiento,Sumatriptan
Protocolo_Migrana,alternativa_tratamiento,Topiramato
Protocolo_Parkinson,trata,Enfermedad_Parkinson
Protocolo_Parkinson,requiere_sintoma,Temblor_Reposo
Protocolo_Parkinson,requiere_sintoma,Bradicinesia
Protocolo_Parkinson,requiere_prueba,DaTSCAN
Protocolo_Parkinson,requiere_prueba,Exploracion_Neurologica
Protocolo_Parkinson,recibe_tratamiento,Levodopa
Protocolo_Parkinson,alternativa_tratamiento,Pramipexol
Protocolo_Artritis_Reumatoide,trata,Artritis_Reumatoide
Protocolo_Artritis_Reumatoide,requiere_sintoma,Dolor_Articular
Protocolo_Artritis_Reumatoide,requiere_sintoma,Rigidez_Matutina
Protocolo_Artritis_Reumatoide,requiere_prueba,Factor_Reumatoide
Protocolo_Artritis_Reumatoide,requiere_prueba,Anti_CCP
Protocolo_Artritis_Reumatoide,recibe_tratamiento,Metotrexato
Protocolo_Artritis_Reumatoide,alternativa_tratamiento,Sulfasalazina
Protocolo_Artritis_Reumatoide,requiere_condicion,Artritis_Reumatoide
Protocolo_Gota,trata,Gota
Protocolo_Gota,requiere_sintoma,Dolor_Articular_Agudo
Protocolo_Gota,requiere_sintoma,Enrojecimiento_Articular
Protocolo_Gota,requiere_prueba,Acido_Urico_Serico
Protocolo_Gota,recibe_tratamiento,Alopurinol
Protocolo_Gota,alternativa_tratamiento,Colchicina
Protocolo_Gota,requiere_condicion,Hiperuricemia
Protocolo_Hipotiroidismo,trata,Hipotiroidismo
Protocolo_Hipotiroidismo,requiere_sintoma,Fatiga
Protocolo_Hipotiroidismo,requiere_sintoma,Aumento_Peso
Protocolo_Hipotiroidismo,requiere_prueba,TSH
Protocolo_Hipotiroidismo,requiere_prueba,T4_Libre
Protocolo_Hipotiroidismo,recibe_tratamiento,Levotiroxina
Protocolo_Crohn,trata,Enfermedad_Crohn
Protocolo_Crohn,requiere_sintoma,Dolor_Abdominal
Protocolo_Crohn,requiere_sintoma,Diarrea_Cronica
Protocolo_Crohn,requiere_prueba,Colonoscopia
Protocolo_Crohn,requiere_prueba,Calprotectina_Fecal
Protocolo_Crohn,recibe_tratamiento,Mesalazina
Protocolo_Crohn,alternativa_tratamiento,Azatioprina
Protocolo_Crohn,requiere_condicion,Enfermedad_Inflamatoria_Intestinal
Protocolo_Depresion,trata,Depresion_Mayor
Protocolo_Depresion,requiere_sintoma,Animo_Deprimido
Protocolo_Depresion,requiere_sintoma,Anhedonia
Protocolo_Depresion,requiere_prueba,Escala_Hamilton
Protocolo_Depresion,recibe_tratamiento,Sertralina
Protocolo_Depresion,alternativa_tratamiento,Fluoxetina
Protocolo_Lupus,trata,Lupus_Eritematoso
Protocolo_Lupus,requiere_sintoma,Eritema_Malar
Protocolo_Lupus,requiere_sintoma,Artralgia
Protocolo_Lupus,requiere_prueba,ANA
Protocolo_Lupus,requiere_prueba,Anti_DNA
Protocolo_Lupus,recibe_tratamiento,Hidroxicloroquina
Protocolo_Lupus,alternativa_tratamiento,Metotrexato
Protocolo_Osteoporosis,trata,Osteoporosis
Protocolo_Osteoporosis,requiere_sintoma,Fractura_Fragilidad
Protocolo_Osteoporosis,requiere_sintoma,Dolor_Oseo
Protocolo_Osteoporosis,requiere_prueba,Densitometria_Osea
Protocolo_Osteoporosis,recibe_tratamiento,Alendronato
Paciente_01,tiene_sintoma,Crisis_Convulsiva
Paciente_01,tiene_sintoma,Perdida_Conciencia
Paciente_01,tiene_sintoma,Confusion_Postictal
Paciente_01,tiene_condicion,Epilepsia_Focal
Paciente_01,diagnosticado_con,Epilepsia_Focal
Paciente_01,recibe_tratamiento,Levetiracetam
Paciente_02,tiene_sintoma,Crisis_Convulsiva
Paciente_02,tiene_sintoma,Automatismos
Paciente_02,tiene_sintoma,Perdida_Conciencia
Paciente_02,tiene_condicion,Epilepsia_Focal
Paciente_02,tiene_condicion,Embarazo
Paciente_02,diagnosticado_con,Epilepsia_Focal
Paciente_02,recibe_tratamiento,Lamotrigina
Paciente_03,tiene_sintoma,Crisis_Convulsiva
Paciente_03,tiene_sintoma,Confusion_Postictal
Paciente_03,tiene_condicion,Epilepsia_Focal
Paciente_03,tiene_condicion,Insuficiencia_Hepatica
Paciente_03,diagnosticado_con,Epilepsia_Focal
Paciente_03,recibe_tratamiento,Levetiracetam
Paciente_04,tiene_sintoma,Cefalea_Pulsatil
Paciente_04,tiene_sintoma,Fotofobia
Paciente_04,tiene_sintoma,Nauseas
Paciente_04,tiene_condicion,Migrana_Cronica
Paciente_04,diagnosticado_con,Migrana_Cronica
Paciente_04,recibe_tratamiento,Sumatriptan
Paciente_05,tiene_sintoma,Cefalea_Pulsatil
Paciente_05,tiene_sintoma,Aura_Visual
Paciente_05,tiene_sintoma,Fotofobia
Paciente_05,tiene_condicion,Migrana_Cronica
Paciente_05,tiene_condicion,Enfermedad_Coronaria
Paciente_05,diagnosticado_con,Migrana_Cronica
Paciente_05,recibe_tratamiento,Topiramato
Paciente_06,tiene_sintoma,Cefalea_Pulsatil
Paciente_06,tiene_sintoma,Nauseas
Paciente_06,tiene_condicion,Migrana_Cronica
Paciente_06,tiene_condicion,Embarazo
Paciente_06,diagnosticado_con,Migrana_Cronica
Paciente_06,recibe_tratamiento,Sumatriptan
Paciente_07,tiene_sintoma,Temblor_Reposo
Paciente_07,tiene_sintoma,Bradicinesia
Paciente_07,tiene_sintoma,Rigidez_Muscular
Paciente_07,tiene_condicion,Enfermedad_Parkinson
Paciente_07,diagnosticado_con,Enfermedad_Parkinson
Paciente_07,recibe_tratamiento,Levodopa
Paciente_08,tiene_sintoma,Temblor_Reposo
Paciente_08,tiene_sintoma,Inestabilidad_Postural
Paciente_08,tiene_sintoma,Bradicinesia
Paciente_08,tiene_condicion,Enfermedad_Parkinson
Paciente_08,diagnosticado_con,Enfermedad_Parkinson
Paciente_08,recibe_tratamiento,Pramipexol
Paciente_09,tiene_sintoma,Dolor_Articular
Paciente_09,tiene_sintoma,Rigidez_Matutina
Paciente_09,tiene_sintoma,Tumefaccion_Articular
Paciente_09,tiene_condicion,Artritis_Reumatoide
Paciente_09,diagnosticado_con,Artritis_Reumatoide
Paciente_09,recibe_tratamiento,Metotrexato
Paciente_10,tiene_sintoma,Dolor_Articular
Paciente_10,tiene_sintoma,Fatiga
Paciente_10,tiene_sintoma,Rigidez_Matutina
Paciente_10,tiene_condicion,Artritis_Reumatoide
Paciente_10,tiene_condicion,Embarazo
Paciente_10,diagnosticado_con,Artritis_Reumatoide
Paciente_10,recibe_tratamiento,Sulfasalazina
Paciente_11,tiene_sintoma,Tumefaccion_Articular
Paciente_11,tiene_sintoma,Dolor_Articular
Paciente_11,tiene_condicion,Artritis_Reumatoide
Paciente_11,tiene_condicion,Insuficiencia_Renal
Paciente_11,diagnosticado_con,Artritis_Reumatoide
Paciente_11,recibe_tratamiento,Hidroxicloroquina
Paciente_12,tiene_sintoma,Dolor_Articular_Agudo
Paciente_12,tiene_sintoma,Enrojecimiento_Articular
Paciente_12,tiene_condicion,Hiperuricemia
Paciente_12,diagnosticado_con,Gota
Paciente_12,recibe_tratamiento,Colchicina
Paciente_13,tiene_sintoma,Dolor_Articular_Agudo
Paciente_13,tiene_sintoma,Tofos
Paciente_13,tiene_condicion,Hiperuricemia
Paciente_13,tiene_condicion,Insuficiencia_Renal
Paciente_13,diagnosticado_con,Gota
Paciente_13,recibe_tratamiento,Alopurinol
Paciente_14,tiene_sintoma,Fatiga
Paciente_14,tiene_sintoma,Aumento_Peso
Paciente_14,tiene_sintoma,Intolerancia_Frio
Paciente_14,tiene_condicion,Hipotiroidismo
Paciente_14,diagnosticado_con,Hipotiroidismo
Paciente_14,recibe_tratamiento,Levotiroxina
Paciente_15,tiene_sintoma,Fatiga
Paciente_15,tiene_sintoma,Bradicardia
Paciente_15,tiene_condicion,Hipotiroidismo
Paciente_15,diagnosticado_con,Hipotiroidismo
Paciente_15,recibe_tratamiento,Levotiroxina
Paciente_16,tiene_sintoma,Dolor_Abdominal
Paciente_16,tiene_sintoma,Diarrea_Cronica
Paciente_16,tiene_sintoma,Perdida_Peso_Involuntaria
Paciente_16,tiene_condicion,Enfermedad_Inflamatoria_Intestinal
Paciente_16,diagnosticado_con,Enfermedad_Crohn
Paciente_16,recibe_tratamiento,Mesalazina
Paciente_17,tiene_sintoma,Dolor_Abdominal
Paciente_17,tiene_sintoma,Rectorragia
Paciente_17,tiene_sintoma,Diarrea_Cronica
Paciente_17,tiene_condicion,Enfermedad_Inflamatoria_Intestinal
Paciente_17,tiene_condicion,Deficit_TPMT
Paciente_17,diagnosticado_con,Enfermedad_Crohn
Paciente_17,recibe_tratamiento,Azatioprina
Paciente_18,tiene_sintoma,Diarrea_Cronica
Paciente_18,tiene_sintoma,Perdida_Peso_Involuntaria
Paciente_18,tiene_condicion,Enfermedad_Inflamatoria_Intestinal
Paciente_18,tiene_condicion,Embarazo
Paciente_18,diagnosticado_con,Enfermedad_Crohn
Paciente_18,recibe_tratamiento,Mesalazina
Paciente_19,tiene_sintoma,Animo_Deprimido
Paciente_19,tiene_sintoma,Anhedonia
Paciente_19,tiene_sintoma,Insomnio
Paciente_19,tiene_condicion,Depresion_Mayor
Paciente_19,diagnosticado_con,Depresion_Mayor
Paciente_19,recibe_tratamiento,Sertralina
Paciente_20,tiene_sintoma,Animo_Deprimido
Paciente_20,tiene_sintoma,Perdida_Apetito
Paciente_20,tiene_sintoma,Insomnio
Paciente_20,tiene_condicion,Depresion_Mayor
Paciente_20,diagnosticado_con,Depresion_Mayor
Paciente_20,recibe_tratamiento,Fluoxetina
Paciente_21,tiene_sintoma,Eritema_Malar
Paciente_21,tiene_sintoma,Artralgia
Paciente_21,tiene_sintoma,Fotosensibilidad
Paciente_21,tiene_condicion,Lupus_Eritematoso
Paciente_21,diagnosticado_con,Lupus_Eritematoso
Paciente_21,recibe_tratamiento,Hidroxicloroquina
Paciente_22,tiene_sintoma,Eritema_Malar
Paciente_22,tiene_sintoma,Fatiga
Paciente_22,tiene_sintoma,Artralgia
Paciente_22,tiene_condicion,Lupus_Eritematoso
Paciente_22,tiene_condicion,Retinopatia
Paciente_22,diagnosticado_con,Lupus_Eritematoso
Paciente_22,recibe_tratamiento,Metotrexato
Paciente_23,tiene_sintoma,Fotosensibilidad
Paciente_23,tiene_sintoma,Artralgia
Paciente_23,tiene_condicion,Lupus_Eritematoso
Paciente_23,tiene_condicion,Insuficiencia_Renal
Paciente_23,diagnosticado_con,Lupus_Eritematoso
Paciente_23,recibe_tratamiento,Azatioprina
Paciente_24,tiene_sintoma,Fractura_Fragilidad
Paciente_24,tiene_sintoma,Dolor_Oseo
Paciente_24,tiene_condicion,Osteoporosis
Paciente_24,diagnosticado_con,Osteoporosis
Paciente_24,recibe_tratamiento,Alendronato
Paciente_25,tiene_sintoma,Perdida_Altura
Paciente_25,tiene_sintoma,Dolor_Oseo
Paciente_25,tiene_condicion,Osteoporosis
Paciente_25,diagnosticado_con,Osteoporosis
Paciente_25,recibe_tratamiento,Alendronato
